bmi,gender,is_training,name,image_path,split,image_index,pair_id,pair_position,bmi_class,exists,readable,width,height,aspect_ratio,mode,file_size_kb,brightness_mean,contrast_std,blur_score,exact_md5,avg_hash,error
34.2073961938,Male,1,img_0.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_0.bmp,train,0,0,first_in_pair,moderately_obese,True,True,164.0,176.0,0.9318181818181818,RGB,84.615234375,130.24442211751662,57.14138707410838,625.1025390625,6fafc2b62861870943670fbf58ac6ddd,1110011111011111110111111000000000001111000011110000001100000101,
26.4537197232,Male,1,img_1.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_1.bmp,train,1,0,second_in_pair,overweight,True,True,150.0,173.0,0.8670520231213873,RGB,76.416015625,89.70978805394991,55.665159630414685,185.0981903076172,b0ef60508eaf09fd83cc5dd2a8201f00,0000000011000001110000011100000111000111110001111110011111000011,
34.9675605536,Female,1,img_2.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_2.bmp,train,2,1,first_in_pair,moderately_obese,True,True,226.0,251.0,0.900398406374502,RGB,166.732421875,109.18483587772802,59.84453453975188,145.39828491210938,0a18e182ef96d8639ef44798f9a05460,1111111111100011110110010001100100111101001111010001100000011000,
22.044766436,Female,1,img_3.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_3.bmp,train,3,1,second_in_pair,normal,True,True,97.0,126.0,0.7698412698412699,RGB,35.982421875,129.59941089837997,43.2590794608209,283.9507751464844,ff8caa558fe10bde2433ee80c18c2d3d,1000000010011100000111000011111000111110001111000001110000111100,
37.7587890625,Female,1,img_4.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_4.bmp,train,4,2,first_in_pair,severely_obese,False,False,,,,,,,,,,,missing_file
24.8864746094,Female,1,img_5.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_5.bmp,train,5,2,second_in_pair,normal,False,False,,,,,,,,,,,missing_file
25.8455882353,Female,1,img_6.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_6.bmp,train,6,3,first_in_pair,overweight,True,True,87.0,115.0,0.7565217391304347,RGB,29.701171875,145.5623188405797,56.38791927975299,199.03524780273438,883a9ff81a60db60eb34feadb1ae8673,1111111111110011111110011001000110110001100000001000000000000000,
21.740700692,Female,1,img_7.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_7.bmp,train,7,3,second_in_pair,normal,True,True,84.0,112.0,0.75,RGB,27.615234375,127.82568027210884,55.68539784091065,190.24111938476562,86c5cf311ba9cc3188ebd04dd2dfdfa8,1111101111110001111111011010100010111100100001001000000010000000,
30.6158579882,Female,1,img_8.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_8.bmp,train,8,4,first_in_pair,moderately_obese,True,True,311.0,409.0,0.7603911980440098,RGB,373.904296875,109.3984229435766,66.85637444726622,24.8519229888916,1cad7fa9beff43aa45c997c43abfa12c,1111111111000011100110011010100100101001000010000000000000000000,
26.7888757396,Female,1,img_9.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_9.bmp,train,9,4,second_in_pair,overweight,True,True,334.0,369.0,0.9051490514905149,RGB,361.845703125,133.0237735910293,79.71024825822671,94.5698471069336,d3ab94fc47fa83d72244a31f45d76442,1110000111000001110010011100010111001011110000110000001100001011,
38.7327823691,Male,1,img_10.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_10.bmp,train,10,5,first_in_pair,severely_obese,True,True,134.0,140.0,0.9571428571428572,RGB,55.287109375,118.63731343283582,50.97651340576726,449.5460205078125,9f560ff7f3a2159af52af10591cd5f07,1000000000011110001111111111111010111110000111000000111010001111,
30.8248393021,Male,1,img_11.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_11.bmp,train,11,5,second_in_pair,moderately_obese,True,True,116.0,134.0,0.8656716417910447,RGB,45.591796875,112.03757076685538,66.19028060208865,370.60614013671875,86a6a5846dbf0bdddb2ef5472fa206fc,0000000000111100101111001111110011111110001111000011100000011100,
41.3988888889,Male,1,img_12.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_12.bmp,train,12,6,first_in_pair,very_severely_obese,True,True,773.0,886.0,0.8724604966139955,RGB,2007.396484375,116.56957589526894,59.40173989534119,45.118080139160156,ae6ff59beae1493db2d43d67f683f228,0000000011100011111110111100000111100001111000111110001111100001,
31.0491666667,Male,1,img_13.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_13.bmp,train,13,6,second_in_pair,moderately_obese,True,True,697.0,709.0,0.9830747531734838,RGB,1448.517578125,100.91400177670573,55.28940448001173,43.63602828979492,a39d42e191347fde9aa69fb6810a12ad,0000000011111011110000011100000111010001111000001110000011100000,
35.5613965483,Male,1,img_14.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_14.bmp,train,14,7,first_in_pair,severely_obese,True,True,202.0,249.0,0.8112449799196787,RGB,147.896484375,128.75619308918843,48.07685736403332,135.19412231445312,3ff338621f7ec2bdfa0be29e6555a4ca,0000000011111100111111001110100011111111111100111110001110110001,
25.7994445547,Male,1,img_15.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_15.bmp,train,15,7,second_in_pair,overweight,True,True,189.0,174.0,1.0862068965517242,RGB,96.568359375,56.25551906586389,34.53498608718601,583.7807006835938,442eaef19aa1ff03697d8ae18c95230b,1111111111100011111000010010000000110000101100001011000011110000,
33.199527745,Male,1,img_16.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_16.bmp,train,16,8,first_in_pair,moderately_obese,True,True,245.0,279.0,0.8781362007168458,RGB,200.583984375,37.675985663082436,37.10930023991544,123.79142761230469,84316d22d720ffb961ef0834b1d86ccb,0000000000111000001110000011111000111100001111000100000111010011,
23.5953786473,Male,1,img_17.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_17.bmp,train,17,8,second_in_pair,normal,True,True,185.0,244.0,0.7581967213114754,RGB,132.537109375,58.996322552060256,69.02161460649513,284.9405517578125,1eec18abbd04251fce78503385f1a041,0000000000111100001111000111111001111110001111000011110000001000,
41.2094594595,Male,1,img_18.bmp,/Users/satanhaha/Documents/MS ADS/ML2/Final Project/BMI/Data/Images/img_18.bmp,train,18,9,first_in_pair,very_severely_obese,True,True,284.0,299.0,0.9498327759197325,RGB,248.830078125,93.51439069197795,48.20913527726091,158.97222900390625,8ffca0e2755f70fa44b27266aeb7755f,1111111010111111101111001101110011100100100011000000000000000000,
